,0,1,Quincy Acy,PF,24,NYK,68,1287,11.9,0.533,0.181,...,NaN,1.0,0.7,1.7,0.063,NaN.1,-2.3,-0.8,-3.1,-0.3
0,1,2,Jordan Adams,SG,20,MEM,30,248,12.8,0.489,0.291,...,,0.0,0.4,0.4,0.073,,-1.8,1.2,-0.6,0.1
1,2,3,Steven Adams,C,21,OKC,70,1771,14.1,0.549,0.005,...,,1.9,2.2,4.1,0.111,,-1.4,1.8,0.4,1.1
2,3,4,Jeff Adrien,PF,28,MIN,17,215,14.2,0.494,0.0,...,,0.2,0.2,0.4,0.087,,-2.7,0.5,-2.2,0.0
3,4,5,Arron Afflalo,SG,29,TOT,78,2502,10.7,0.533,0.377,...,,1.6,1.0,2.6,0.05,,-0.5,-1.3,-1.8,0.1
4,5,5,Arron Afflalo,SG,29,DEN,53,1750,11.7,0.533,0.37,...,,1.4,0.4,1.8,0.05,,0.0,-1.6,-1.6,0.2
